Designator,Mid X,Mid Y,Rot,Layer
C24,16.400000,3.600000,180.000000,bottom
C26,17.000000,-2.451000,0.000000,bottom
C32,-6.200000,17.950000,180.000000,bottom
C33,1.050000,17.550000,180.000000,bottom
C34,-21.800000,4.200000,-90.000000,bottom
C40,-17.350000,0.100000,180.000000,bottom
C44,2.000000,-16.200000,0.000000,bottom
C46,-0.650000,-17.600000,-90.000000,bottom
C51,-6.650000,14.200000,180.000000,bottom
C52,-4.500000,14.200000,180.000000,bottom
C53,0.050500,14.249500,180.000000,bottom
D4,19.901000,5.601000,180.000000,bottom
D5,19.875500,3.625000,0.000000,bottom
D6,18.050000,1.150000,180.000000,bottom
D7,18.050000,-0.650000,0.000000,bottom
D8,-4.350000,21.750000,180.000000,bottom
D9,-4.350000,19.900000,0.000000,bottom
D10,-1.049000,16.800000,-90.000000,bottom
D11,-2.999500,16.800000,90.000000,bottom
D12,-19.150000,3.050000,90.000000,bottom
D13,-17.100000,2.950000,-90.000000,bottom
D14,-19.700000,-2.550000,-90.000000,bottom
D15,-17.650000,-2.500000,90.000000,bottom
D16,2.350000,-20.100000,180.000000,bottom
D17,2.300000,-18.000000,0.000000,bottom
D18,-3.300000,-19.950000,180.000000,bottom
D19,-3.300000,-17.750000,0.000000,bottom
Q3,10.200000,-6.750000,180.000000,bottom
R12,19.199000,-2.449000,180.000000,bottom
R21,1.050000,18.900000,180.000000,bottom
R26,-19.600000,0.100000,0.000000,bottom
R36,-0.700000,-19.750000,90.000000,bottom
SD1,10.750000,10.000000,-44.000000,bottom
SWD1,4.950000,17.150000,0.000000,bottom
U9,-5.150000,11.800000,90.000000,bottom
U10,-1.000000,11.100000,0.000000,bottom
UART3,5.350000,21.150000,0.000000,bottom
,-18.250000,8.100000,90.000000,top
,-10.300000,-1.050000,90.000000,top
,-13.400000,2.450000,90.000000,top
,-8.248500,-19.001000,90.000000,top
BAT1,13.350000,0.800000,0.000000,top
C1,-5.200000,13.050000,0.000000,top
C2,3.550000,9.650000,0.000000,top
C3,-14.400000,9.800000,-90.000000,top
C4,20.600000,8.300000,0.000000,top
C5,-18.800000,9.800000,-90.000000,top
C6,-18.800000,7.450000,180.000000,top
C7,-18.800000,5.900000,0.000000,top
C8,-12.150000,3.100000,90.000000,top
C9,-9.925000,9.800000,-90.000000,top
C10,-16.750000,1.100000,0.000000,top
C11,-14.450000,1.100000,0.000000,top
C12,-0.250000,13.800000,0.000000,top
C13,-2.900000,17.300000,-90.000000,top
C14,3.800000,17.250000,0.000000,top
C15,-11.250000,-3.375500,0.000000,top
C16,-7.200000,-6.550000,-90.000000,top
C17,-7.600000,8.300000,180.000000,top
C18,3.550000,8.350000,180.000000,top
C19,1.900000,-6.350000,0.000000,top
