Designator,Val,Package,Mid X,Mid Y,Rot,Layer
"C24","1uF","C0603",16.400000,3.600000,180.000000,bottom
"C26","100nF","C0402",17.000000,-2.451000,0.000000,bottom
"C32","1uF","C0603",-6.200000,17.950000,180.000000,bottom
"C33","100nF","C0402",1.050000,17.550000,180.000000,bottom
"C34","1uF","C0603",-21.800000,4.200000,-90.000000,bottom
"C40","100nF","C0402",-17.350000,0.100000,180.000000,bottom
"C44","1uF","C0603",2.000000,-16.200000,0.000000,bottom
"C46","100nF","C0402",-0.650000,-17.600000,-90.000000,bottom
"C51","100nF","C0402",-6.650000,14.200000,180.000000,bottom
"C52","100nF","C0402",-4.500000,14.200000,180.000000,bottom
"D4","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",19.901000,5.601000,180.000000,bottom
"D5","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",19.875500,3.625000,0.000000,bottom
"D6","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",18.050000,1.150000,180.000000,bottom
"D7","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",18.050000,-0.650000,0.000000,bottom
"D8","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-4.350000,21.750000,180.000000,bottom
"D9","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-4.350000,19.900000,0.000000,bottom
"D10","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-1.049000,16.800000,-90.000000,bottom
"D11","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-2.999500,16.800000,90.000000,bottom
"D12","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-19.150000,3.050000,90.000000,bottom
"D13","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-17.100000,2.950000,-90.000000,bottom
"D14","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-19.700000,-2.550000,-90.000000,bottom
"D15","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-17.650000,-2.500000,90.000000,bottom
"D16","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",2.350000,-20.100000,180.000000,bottom
"D17","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",2.300000,-18.000000,0.000000,bottom
"D18","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-3.300000,-19.950000,180.000000,bottom
"D19","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD",-3.300000,-17.750000,0.000000,bottom
"R12","4.7K","R0402",19.199000,-2.449000,180.000000,bottom
"R21","4.7K","R0402",1.050000,18.900000,180.000000,bottom
"R26","4.7K","R0402",-19.600000,0.100000,0.000000,bottom
"R36","4.7K","R0402",-0.700000,-19.750000,90.000000,bottom
"SD1","SDCARD MOLEX 1040310811","1040310811",10.750000,10.000000,-44.000000,bottom
"U9","BMI270","LGA-14_L3.0-W2.5-P0.50-BL",-5.150000,11.800000,90.000000,bottom
"","","Pad_e1544",-8.248500,-19.001000,90.000000,top
"","","Pad_e1541",-10.100000,-3.100000,90.000000,top
"","","Pad_e1543",-18.250000,8.100000,90.000000,top
"","","Pad_e1542",-4.900000,6.600000,90.000000,top
"BAT1","B2B-XH-A-GU","CONN-TH_B2B-XH-A-GU",13.350000,0.800000,0.000000,top
"C1","1uF","C0402",-5.200000,13.050000,0.000000,top
"C2","1uF","C0402",3.550000,9.650000,0.000000,top
"C3","10pF","C0402",-14.400000,9.800000,-90.000000,top
"C4","4.7uF","C0603",20.600000,8.300000,0.000000,top
"C5","10pF","C0402",-18.800000,9.800000,-90.000000,top
"C6","10pF","C0402",-18.800000,7.450000,180.000000,top
"C7","10pF","C0402",-18.800000,5.900000,0.000000,top
"C8","100nF","C0402",-12.150000,3.100000,90.000000,top
"C9","10nF","C0402",-9.925000,9.800000,-90.000000,top
"C12","100uF","CAP-SMD_L3.5-W2.8",-0.250000,13.800000,0.000000,top
"C13","1uF","C0402",-2.900000,17.300000,-90.000000,top
"C14","4.7uF","C0603",3.800000,17.250000,0.000000,top
"C15","10nF","C0402",-11.250000,-3.375500,0.000000,top
"C16","4.7uF","C0603",-7.200000,-6.550000,-90.000000,top
"C17","100nF","C0402",-7.600000,8.300000,180.000000,top
"C18","100nF","C0402",3.550000,8.350000,180.000000,top
"C19","100nF","C0402",1.900000,-6.350000,0.000000,top
"C21","100nF","C0402",-4.700000,-6.550000,0.000000,top
"C22","1uF","C0402",-11.250000,-4.750000,0.000000,top
"C23","10nF","C0402",-11.250000,-7.376000,0.000000,top
"C25","2.2uF","C0603",-15.400000,-1.350000,180.000000,top
"C27","2.2uF","C0603",-18.650000,-11.250000,0.000000,top
"C28","2.2uF","C0603",-13.500000,-4.100000,90.000000,top
"C29","2.2uF","C0603",-18.300000,-1.350000,180.000000,top
"C30","2.2uF","C0603",-22.400000,-4.400000,-90.000000,top
"C31","100nF","C0603",-3.700000,-18.500000,0.000000,top
"C35","100nF","C0402",-16.250000,-15.250000,180.000000,top
"C36","4.7uF","C0603",-15.900000,-13.700000,0.000000,top
"C37","2.2uF","C0603",11.200000,-2.400000,180.000000,top
"C38","2.2uF","C0603",10.900000,-12.150000,0.000000,top
"C39","22pF","C0402",-11.050000,-19.800000,180.000000,top
"C41","2.2uF","C0603",13.600000,-3.200000,90.000000,top
"C42","2.2uF","C0603",8.050000,-2.450000,180.000000,top
"C43","2.2uF","C0603",14.950000,-3.150000,-90.000000,top
"C45","4.7uF","C0402",-8.850000,-13.650000,180.000000,top
"CAN1","1.25T-1-4A","CONN-TH_1.25T-1-4A",-11.900000,16.450000,180.000000,top
"D1","NUP1105LT1G","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",-9.300000,20.000000,0.000000,top
"D2","SN65220DBVR","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",10.550000,9.950000,0.000000,top
"D3","B5819W_C8598","SOD-123_L2.8-W1.8-LS3.7-RD",20.200000,6.100000,0.000000,top
"EAST1","1.25T-2P-DP","CONN-TH_2P-P1.25_1.25T-2P-DP",22.000000,0.000000,-90.000000,top
"I2C1","1.25T-1-4A","CONN-TH_1.25T-1-4A",7.250000,2.000000,90.000000,top
"LED1","XL-1608UBC-06A","LED0603-R-RD",15.850000,5.600000,180.000000,top
"LED2","KT-0603R","LED0603-R-RD",15.850000,7.200000,180.000000,top
"NORTH1","1.25T-2P-DP","CONN-TH_2P-P1.25_1.25T-2P-DP",0.000000,-22.000000,180.000000,top
"Q1","SI2301CDS-T1-GE3","SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR",6.125000,13.375000,0.000000,top
"Q2","SI2301CDS-T1-GE3","SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR",-6.500000,-21.100000,0.000000,top
"R1","120","R0603",-5.650000,20.000000,-90.000000,top
"R2","10K","R0402",-3.400000,8.600000,0.000000,top
"R3","100K","R0402",9.000000,13.550000,-90.000000,top
"R4","33","R0402",7.050000,9.500000,0.000000,top
"R5","33","R0402",7.050000,10.700000,0.000000,top
"R6","1K","R0603",12.450000,5.550000,180.000000,top
"R7","1K","R0603",12.450000,7.250000,180.000000,top
"R8","100K","R0402",-12.900000,9.800000,90.000000,top
"R9","100K","R0402",-11.424000,9.801000,-90.000000,top
"R10","0","R0402",-11.250500,-6.251500,0.000000,top
"R11","100K","R0402",-3.900000,-21.450000,90.000000,top
"R13","10K","R0402",18.600000,0.700000,0.000000,top
"R14","10K","R0402",18.600000,2.050000,0.000000,top
"R15","100K","R0402",-15.400000,-11.700000,90.000000,top
"R16","4.7K","R0402",4.650000,-12.800000,90.000000,top
"R17","10K","R0402",0.900000,-18.550000,-90.000000,top
"R18","10K","R0402",-0.300000,-18.550000,-90.000000,top
"R19","10K","R0402",-1.500000,-18.550000,-90.000000,top
"R20","10K","R0402",2.100000,-18.550000,-90.000000,top
"R22","10K","R0402",-3.350000,20.900000,180.000000,top
"R23","10K","R0402",-3.350000,22.100000,180.000000,top
"R24","33","R0402",-6.300000,-15.600000,0.000000,top
"R25","100K","R0402",13.950000,-11.100000,0.000000,top
"R27","10K","R0402",-18.950000,1.950000,90.000000,top
"R28","10K","R0402",-20.250000,4.350000,90.000000,top
"R29","10K","R0402",-6.300000,-16.800000,0.000000,top
"R30","100K","R0402",-12.300000,-18.450000,180.000000,top
"R31","4.7K","R0402",-10.400000,-18.450000,0.000000,top
"R32","4.7K","R0402",-6.300000,-14.400000,180.000000,top
"R33","4.7K","R0402",-11.150000,-12.500000,0.000000,top
"R34","100K","R0402",-11.150000,-13.650000,180.000000,top
"R35","100K","R0402",-9.850000,-8.950000,180.000000,top
"R37","10K","R0402",3.300000,-21.550000,180.000000,top
"R38","10K","R0402",3.300000,-20.350000,180.000000,top
"R39","100K","R0402",-9.850000,-10.250000,180.000000,top
"R40","4.7K","R0402",9.400000,7.850000,0.000000,top
"R41","10K","R0402",9.400000,6.450000,180.000000,top
"RST1","B3U-1000P","KEY-SMD_B3U-1000PM",-15.400000,3.500000,0.000000,top
"SOUTH1","1.25T-2P-DP","CONN-TH_2P-P1.25_1.25T-2P-DP",0.000000,22.000000,0.000000,top
"SPI1","1.25T-8A_C722648","CONN-TH_1.25T-8A",-12.950000,13.000000,180.000000,top
"SW1","B3U-1000P","KEY-SMD_B3U-1000PM",4.650000,-5.850000,90.000000,top
"U1","TCAN330GDCNR","SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BL",-5.125000,15.750000,0.000000,top
"U2","STM32L476RGT6","LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL",-2.125000,1.125000,-90.000000,top
"U3","XC6206P332MR","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",0.150000,17.500000,180.000000,top
"U4","MAX3222EIPWR","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",-18.050000,-6.300000,180.000000,top
"U5","TMUX4052PWR","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL",-0.400000,-14.500000,90.000000,top
"U6","MAX3222EIPWR","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",9.500000,-7.300000,180.000000,top
"U7","LMV358B-VR","MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL",-11.100000,-16.050000,90.000000,top
"UART1","1.25T-1-4A","CONN-TH_1.25T-1-4A",2.200000,-9.850000,0.000000,top
"UART2","1.25T-1-4A","CONN-TH_1.25T-1-4A",-5.150000,-9.900000,0.000000,top
"USB1","47346-0001","MICRO-USB-SMD_47346-0001",15.350000,12.450000,135.000000,top
"VBAT1","4.7uF","C0603",-9.750000,5.850000,-90.000000,top
"WEST1","1.25T-2P-DP","CONN-TH_2P-P1.25_1.25T-2P-DP",-22.000000,-0.050000,90.000000,top
"X1","32.768KHz","OSC-SMD_L2.0-W1.2",-16.600000,9.850000,0.000000,top
"X2","25M","OSC-SMD_4P-L3.2-W2.5-BL",-15.500000,6.700000,0.000000,top
